coffee_type,size,sugar,sugar_type,milk,extra,cost
filter,single,,saccharin,coconut,strawberry syrup,2.7
filter,single,,saccharin,coconut,caramel syrup,2.7
filter,single,,saccharin,coconut,hazelnut syrup,2.7
filter,single,,saccharin,coconut,vanilla syrup,2.7
filter,single,,saccharin,coconut,cinnamon powder,2.4
filter,single,,saccharin,coconut,chocolate powder,2.4
filter,single,,saccharin,oat,,2.4
filter,single,,saccharin,oat,chocolate syrup,2.7
filter,single,,saccharin,oat,strawberry syrup,2.7
filter,single,,saccharin,oat,caramel syrup,2.7
filter,single,,saccharin,oat,hazelnut syrup,2.7
filter,single,,saccharin,oat,vanilla syrup,2.7
filter,single,,saccharin,oat,cinnamon powder,2.4
filter,single,,saccharin,oat,chocolate powder,2.4
filter,single,,stevia,,,2.0
filter,single,,stevia,,chocolate syrup,2.3
filter,single,,stevia,,strawberry syrup,2.3
filter,single,,stevia,,caramel syrup,2.3
filter,single,,stevia,,hazelnut syrup,2.3
filter,single,,stevia,,vanilla syrup,2.3
filter,single,,stevia,,cinnamon powder,2.0
filter,single,,stevia,,chocolate powder,2.0
filter,single,,stevia,fresh,,2.0
filter,single,,stevia,fresh,chocolate syrup,2.3
filter,single,,stevia,fresh,strawberry syrup,2.3
filter,single,,stevia,fresh,caramel syrup,2.3
filter,single,,stevia,fresh,hazelnut syrup,2.3
filter,single,,stevia,fresh,vanilla syrup,2.3
filter,single,,stevia,fresh,cinnamon powder,2.0
filter,single,,stevia,fresh,chocolate powder,2.0
filter,single,,stevia,evapore,,2.0
filter,single,,stevia,evapore,chocolate syrup,2.3
filter,single,,stevia,evapore,strawberry syrup,2.3
filter,single,,stevia,evapore,caramel syrup,2.3
filter,single,,stevia,evapore,hazelnut syrup,2.3
filter,single,,stevia,evapore,vanilla syrup,2.3
filter,single,,stevia,evapore,cinnamon powder,2.0
filter,single,,stevia,evapore,chocolate powder,2.0
filter,single,,stevia,almond,,2.4
filter,single,,stevia,almond,chocolate syrup,2.7
filter,single,,stevia,almond,strawberry syrup,2.7
filter,single,,stevia,almond,caramel syrup,2.7
filter,single,,stevia,almond,hazelnut syrup,2.7
filter,single,,stevia,almond,vanilla syrup,2.7
filter,single,,stevia,almond,cinnamon powder,2.4
filter,single,,stevia,almond,chocolate powder,2.4
filter,single,,stevia,coconut,,2.4
filter,single,,stevia,coconut,chocolate syrup,2.7
filter,single,,stevia,coconut,strawberry syrup,2.7
filter,single,,stevia,coconut,caramel syrup,2.7
filter,single,,stevia,coconut,hazelnut syrup,2.7
filter,single,,stevia,coconut,vanilla syrup,2.7
filter,single,,stevia,coconut,cinnamon powder,2.4
filter,single,,stevia,coconut,chocolate powder,2.4
filter,single,,stevia,oat,,2.4
filter,single,,stevia,oat,chocolate syrup,2.7
filter,single,,stevia,oat,strawberry syrup,2.7
filter,single,,stevia,oat,caramel syrup,2.7
filter,single,,stevia,oat,hazelnut syrup,2.7
filter,single,,stevia,oat,vanilla syrup,2.7
filter,single,,stevia,oat,cinnamon powder,2.4
filter,single,,stevia,oat,chocolate powder,2.4
filter,single,,honey,,,2.3
filter,single,,honey,,chocolate syrup,2.6
filter,single,,honey,,strawberry syrup,2.6
filter,single,,honey,,caramel syrup,2.6
filter,single,,honey,,hazelnut syrup,2.6
filter,single,,honey,,vanilla syrup,2.6
filter,single,,honey,,cinnamon powder,2.3
filter,single,,honey,,chocolate powder,2.3
filter,single,,honey,fresh,,2.3
filter,single,,honey,fresh,chocolate syrup,2.6
filter,single,,honey,fresh,strawberry syrup,2.6
filter,single,,honey,fresh,caramel syrup,2.6
filter,single,,honey,fresh,hazelnut syrup,2.6
filter,single,,honey,fresh,vanilla syrup,2.6
filter,single,,honey,fresh,cinnamon powder,2.3
filter,single,,honey,fresh,chocolate powder,2.3
filter,single,,honey,evapore,,2.3
filter,single,,honey,evapore,chocolate syrup,2.6
filter,single,,honey,evapore,strawberry syrup,2.6
filter,single,,honey,evapore,caramel syrup,2.6
filter,single,,honey,evapore,hazelnut syrup,2.6
filter,single,,honey,evapore,vanilla syrup,2.6
filter,single,,honey,evapore,cinnamon powder,2.3
filter,single,,honey,evapore,chocolate powder,2.3
filter,single,,honey,almond,,2.7
filter,single,,honey,almond,chocolate syrup,3.0
filter,single,,honey,almond,strawberry syrup,3.0
filter,single,,honey,almond,caramel syrup,3.0
filter,single,,honey,almond,hazelnut syrup,3.0
filter,single,,honey,almond,vanilla syrup,3.0
filter,single,,honey,almond,cinnamon powder,2.7
filter,single,,honey,almond,chocolate powder,2.7
filter,single,,honey,coconut,,2.7
filter,single,,honey,coconut,chocolate syrup,3.0
filter,single,,honey,coconut,strawberry syrup,3.0
filter,single,,honey,coconut,caramel syrup,3.0
filter,single,,honey,coconut,hazelnut syrup,3.0
filter,single,,honey,coconut,vanilla syrup,3.0
filter,single,,honey,coconut,cinnamon powder,2.7
filter,single,,honey,coconut,chocolate powder,2.7
filter,single,,honey,oat,,2.7
filter,single,,honey,oat,chocolate syrup,3.0
filter,single,,honey,oat,strawberry syrup,3.0
filter,single,,honey,oat,caramel syrup,3.0
filter,single,,honey,oat,hazelnut syrup,3.0
filter,single,,honey,oat,vanilla syrup,3.0
filter,single,,honey,oat,cinnamon powder,2.7
filter,single,,honey,oat,chocolate powder,2.7
filter,single,little,white,,,2.0
filter,single,little,white,,chocolate syrup,2.3
filter,single,little,white,,strawberry syrup,2.3
filter,single,little,white,,caramel syrup,2.3
filter,single,little,white,,hazelnut syrup,2.3
filter,single,little,white,,vanilla syrup,2.3
filter,single,little,white,,cinnamon powder,2.0
filter,single,little,white,,chocolate powder,2.0
filter,single,little,white,fresh,,2.0
filter,single,little,white,fresh,chocolate syrup,2.3
filter,single,little,white,fresh,strawberry syrup,2.3
filter,single,little,white,fresh,caramel syrup,2.3
filter,single,little,white,fresh,hazelnut syrup,2.3
filter,single,little,white,fresh,vanilla syrup,2.3
filter,single,little,white,fresh,cinnamon powder,2.0
filter,single,little,white,fresh,chocolate powder,2.0
filter,single,little,white,evapore,,2.0
filter,single,little,white,evapore,chocolate syrup,2.3
filter,single,little,white,evapore,strawberry syrup,2.3
filter,single,little,white,evapore,caramel syrup,2.3
filter,single,little,white,evapore,hazelnut syrup,2.3
filter,single,little,white,evapore,vanilla syrup,2.3
filter,single,little,white,evapore,cinnamon powder,2.0
filter,single,little,white,evapore,chocolate powder,2.0
filter,single,little,white,almond,,2.4
filter,single,little,white,almond,chocolate syrup,2.7
filter,single,little,white,almond,strawberry syrup,2.7
filter,single,little,white,almond,caramel syrup,2.7
filter,single,little,white,almond,hazelnut syrup,2.7
filter,single,little,white,almond,vanilla syrup,2.7
filter,single,little,white,almond,cinnamon powder,2.4
filter,single,little,white,almond,chocolate powder,2.4
filter,single,little,white,coconut,,2.4
filter,single,little,white,coconut,chocolate syrup,2.7
filter,single,little,white,coconut,strawberry syrup,2.7
filter,single,little,white,coconut,caramel syrup,2.7
filter,single,little,white,coconut,hazelnut syrup,2.7
filter,single,little,white,coconut,vanilla syrup,2.7
filter,single,little,white,coconut,cinnamon powder,2.4
filter,single,little,white,coconut,chocolate powder,2.4
filter,single,little,white,oat,,2.4
filter,single,little,white,oat,chocolate syrup,2.7
filter,single,little,white,oat,strawberry syrup,2.7
filter,single,little,white,oat,caramel syrup,2.7
filter,single,little,white,oat,hazelnut syrup,2.7
filter,single,little,white,oat,vanilla syrup,2.7
filter,single,little,white,oat,cinnamon powder,2.4
filter,single,little,white,oat,chocolate powder,2.4
filter,single,little,brown,,,2.0
filter,single,little,brown,,chocolate syrup,2.3
filter,single,little,brown,,strawberry syrup,2.3
filter,single,little,brown,,caramel syrup,2.3
filter,single,little,brown,,hazelnut syrup,2.3
filter,single,little,brown,,vanilla syrup,2.3
filter,single,little,brown,,cinnamon powder,2.0
filter,single,little,brown,,chocolate powder,2.0
filter,single,little,brown,fresh,,2.0
filter,single,little,brown,fresh,chocolate syrup,2.3
filter,single,little,brown,fresh,strawberry syrup,2.3
filter,single,little,brown,fresh,caramel syrup,2.3
filter,single,little,brown,fresh,hazelnut syrup,2.3
filter,single,little,brown,fresh,vanilla syrup,2.3
filter,single,little,brown,fresh,cinnamon powder,2.0
filter,single,little,brown,fresh,chocolate powder,2.0
filter,single,little,brown,evapore,,2.0
filter,single,little,brown,evapore,chocolate syrup,2.3
filter,single,little,brown,evapore,strawberry syrup,2.3
filter,single,little,brown,evapore,caramel syrup,2.3
filter,single,little,brown,evapore,hazelnut syrup,2.3
filter,single,little,brown,evapore,vanilla syrup,2.3
filter,single,little,brown,evapore,cinnamon powder,2.0
filter,single,little,brown,evapore,chocolate powder,2.0
filter,single,little,brown,almond,,2.4
filter,single,little,brown,almond,chocolate syrup,2.7
filter,single,little,brown,almond,strawberry syrup,2.7
filter,single,little,brown,almond,caramel syrup,2.7
filter,single,little,brown,almond,hazelnut syrup,2.7
filter,single,little,brown,almond,vanilla syrup,2.7
filter,single,little,brown,almond,cinnamon powder,2.4
filter,single,little,brown,almond,chocolate powder,2.4
filter,single,little,brown,coconut,,2.4
filter,single,little,brown,coconut,chocolate syrup,2.7
filter,single,little,brown,coconut,strawberry syrup,2.7
filter,single,little,brown,coconut,caramel syrup,2.7
filter,single,little,brown,coconut,hazelnut syrup,2.7
filter,single,little,brown,coconut,vanilla syrup,2.7
filter,single,little,brown,coconut,cinnamon powder,2.4
filter,single,little,brown,coconut,chocolate powder,2.4
filter,single,little,brown,oat,,2.4
filter,single,little,brown,oat,chocolate syrup,2.7
filter,single,little,brown,oat,strawberry syrup,2.7
filter,single,little,brown,oat,caramel syrup,2.7
filter,single,little,brown,oat,hazelnut syrup,2.7
filter,single,little,brown,oat,vanilla syrup,2.7
filter,single,little,brown,oat,cinnamon powder,2.4
filter,single,little,brown,oat,chocolate powder,2.4
filter,single,little,saccharin,,,2.0
filter,single,little,saccharin,,chocolate syrup,2.3
filter,single,little,saccharin,,strawberry syrup,2.3
filter,single,little,saccharin,,caramel syrup,2.3
filter,single,little,saccharin,,hazelnut syrup,2.3
filter,single,little,saccharin,,vanilla syrup,2.3
filter,single,little,saccharin,,cinnamon powder,2.0
filter,single,little,saccharin,,chocolate powder,2.0
filter,single,little,saccharin,fresh,,2.0
filter,single,little,saccharin,fresh,chocolate syrup,2.3
filter,single,little,saccharin,fresh,strawberry syrup,2.3
filter,single,little,saccharin,fresh,caramel syrup,2.3
filter,single,little,saccharin,fresh,hazelnut syrup,2.3
filter,single,little,saccharin,fresh,vanilla syrup,2.3
filter,single,little,saccharin,fresh,cinnamon powder,2.0
filter,single,little,saccharin,fresh,chocolate powder,2.0
filter,single,little,saccharin,evapore,,2.0
filter,single,little,saccharin,evapore,chocolate syrup,2.3
filter,single,little,saccharin,evapore,strawberry syrup,2.3
filter,single,little,saccharin,evapore,caramel syrup,2.3
filter,single,little,saccharin,evapore,hazelnut syrup,2.3
filter,single,little,saccharin,evapore,vanilla syrup,2.3
filter,single,little,saccharin,evapore,cinnamon powder,2.0
filter,single,little,saccharin,evapore,chocolate powder,2.0
filter,single,little,saccharin,almond,,2.4
filter,single,little,saccharin,almond,chocolate syrup,2.7
filter,single,little,saccharin,almond,strawberry syrup,2.7
filter,single,little,saccharin,almond,caramel syrup,2.7
filter,single,little,saccharin,almond,hazelnut syrup,2.7
filter,single,little,saccharin,almond,vanilla syrup,2.7
filter,single,little,saccharin,almond,cinnamon powder,2.4
filter,single,little,saccharin,almond,chocolate powder,2.4
filter,single,little,saccharin,coconut,,2.4
filter,single,little,saccharin,coconut,chocolate syrup,2.7
filter,single,little,saccharin,coconut,strawberry syrup,2.7
filter,single,little,saccharin,coconut,caramel syrup,2.7
filter,single,little,saccharin,coconut,hazelnut syrup,2.7
filter,single,little,saccharin,coconut,vanilla syrup,2.7
filter,single,little,saccharin,coconut,cinnamon powder,2.4
filter,single,little,saccharin,coconut,chocolate powder,2.4
filter,single,little,saccharin,oat,,2.4
filter,single,little,saccharin,oat,chocolate syrup,2.7
filter,single,little,saccharin,oat,strawberry syrup,2.7
filter,single,little,saccharin,oat,caramel syrup,2.7
filter,single,little,saccharin,oat,hazelnut syrup,2.7
filter,single,little,saccharin,oat,vanilla syrup,2.7
filter,single,little,saccharin,oat,cinnamon powder,2.4
filter,single,little,saccharin,oat,chocolate powder,2.4
filter,single,little,stevia,,,2.0
filter,single,little,stevia,,chocolate syrup,2.3
filter,single,little,stevia,,strawberry syrup,2.3
filter,single,little,stevia,,caramel syrup,2.3
filter,single,little,stevia,,hazelnut syrup,2.3
filter,single,little,stevia,,vanilla syrup,2.3
filter,single,little,stevia,,cinnamon powder,2.0
filter,single,little,stevia,,chocolate powder,2.0
filter,single,little,stevia,fresh,,2.0
filter,single,little,stevia,fresh,chocolate syrup,2.3
filter,single,little,stevia,fresh,strawberry syrup,2.3
filter,single,little,stevia,fresh,caramel syrup,2.3
filter,single,little,stevia,fresh,hazelnut syrup,2.3
filter,single,little,stevia,fresh,vanilla syrup,2.3
filter,single,little,stevia,fresh,cinnamon powder,2.0
filter,single,little,stevia,fresh,chocolate powder,2.0
filter,single,little,stevia,evapore,,2.0
filter,single,little,stevia,evapore,chocolate syrup,2.3
filter,single,little,stevia,evapore,strawberry syrup,2.3
filter,single,little,stevia,evapore,caramel syrup,2.3
filter,single,little,stevia,evapore,hazelnut syrup,2.3
filter,single,little,stevia,evapore,vanilla syrup,2.3
filter,single,little,stevia,evapore,cinnamon powder,2.0
filter,single,little,stevia,evapore,chocolate powder,2.0
filter,single,little,stevia,almond,,2.4
filter,single,little,stevia,almond,chocolate syrup,2.7
filter,single,little,stevia,almond,strawberry syrup,2.7
filter,single,little,stevia,almond,caramel syrup,2.7
filter,single,little,stevia,almond,hazelnut syrup,2.7
filter,single,little,stevia,almond,vanilla syrup,2.7
filter,single,little,stevia,almond,cinnamon powder,2.4
filter,single,little,stevia,almond,chocolate powder,2.4
filter,single,little,stevia,coconut,,2.4
filter,single,little,stevia,coconut,chocolate syrup,2.7
filter,single,little,stevia,coconut,strawberry syrup,2.7
filter,single,little,stevia,coconut,caramel syrup,2.7
filter,single,little,stevia,coconut,hazelnut syrup,2.7
filter,single,little,stevia,coconut,vanilla syrup,2.7
filter,single,little,stevia,coconut,cinnamon powder,2.4
filter,single,little,stevia,coconut,chocolate powder,2.4
filter,single,little,stevia,oat,,2.4
filter,single,little,stevia,oat,chocolate syrup,2.7
filter,single,little,stevia,oat,strawberry syrup,2.7
filter,single,little,stevia,oat,caramel syrup,2.7
filter,single,little,stevia,oat,hazelnut syrup,2.7
filter,single,little,stevia,oat,vanilla syrup,2.7
filter,single,little,stevia,oat,cinnamon powder,2.4
filter,single,little,stevia,oat,chocolate powder,2.4
filter,single,little,honey,,,2.3
filter,single,little,honey,,chocolate syrup,2.6
filter,single,little,honey,,strawberry syrup,2.6
filter,single,little,honey,,caramel syrup,2.6
filter,single,little,honey,,hazelnut syrup,2.6
filter,single,little,honey,,vanilla syrup,2.6
filter,single,little,honey,,cinnamon powder,2.3
filter,single,little,honey,,chocolate powder,2.3
filter,single,little,honey,fresh,,2.3
filter,single,little,honey,fresh,chocolate syrup,2.6
filter,single,little,honey,fresh,strawberry syrup,2.6
filter,single,little,honey,fresh,caramel syrup,2.6
filter,single,little,honey,fresh,hazelnut syrup,2.6
filter,single,little,honey,fresh,vanilla syrup,2.6
filter,single,little,honey,fresh,cinnamon powder,2.3
filter,single,little,honey,fresh,chocolate powder,2.3
filter,single,little,honey,evapore,,2.3
filter,single,little,honey,evapore,chocolate syrup,2.6
filter,single,little,honey,evapore,strawberry syrup,2.6
filter,single,little,honey,evapore,caramel syrup,2.6
filter,single,little,honey,evapore,hazelnut syrup,2.6
filter,single,little,honey,evapore,vanilla syrup,2.6
filter,single,little,honey,evapore,cinnamon powder,2.3
filter,single,little,honey,evapore,chocolate powder,2.3
filter,single,little,honey,almond,,2.7
filter,single,little,honey,almond,chocolate syrup,3.0
filter,single,little,honey,almond,strawberry syrup,3.0
filter,single,little,honey,almond,caramel syrup,3.0
filter,single,little,honey,almond,hazelnut syrup,3.0
filter,single,little,honey,almond,vanilla syrup,3.0
filter,single,little,honey,almond,cinnamon powder,2.7
filter,single,little,honey,almond,chocolate powder,2.7
filter,single,little,honey,coconut,,2.7
filter,single,little,honey,coconut,chocolate syrup,3.0
filter,single,little,honey,coconut,strawberry syrup,3.0
filter,single,little,honey,coconut,caramel syrup,3.0
filter,single,little,honey,coconut,hazelnut syrup,3.0
filter,single,little,honey,coconut,vanilla syrup,3.0
filter,single,little,honey,coconut,cinnamon powder,2.7
filter,single,little,honey,coconut,chocolate powder,2.7
filter,single,little,honey,oat,,2.7
filter,single,little,honey,oat,chocolate syrup,3.0
filter,single,little,honey,oat,strawberry syrup,3.0
filter,single,little,honey,oat,caramel syrup,3.0
filter,single,little,honey,oat,hazelnut syrup,3.0
filter,single,little,honey,oat,vanilla syrup,3.0
filter,single,little,honey,oat,cinnamon powder,2.7
filter,single,little,honey,oat,chocolate powder,2.7
filter,single,medium,white,,,2.0
filter,single,medium,white,,chocolate syrup,2.3
filter,single,medium,white,,strawberry syrup,2.3
filter,single,medium,white,,caramel syrup,2.3
filter,single,medium,white,,hazelnut syrup,2.3
filter,single,medium,white,,vanilla syrup,2.3
filter,single,medium,white,,cinnamon powder,2.0
filter,single,medium,white,,chocolate powder,2.0
filter,single,medium,white,fresh,,2.0
filter,single,medium,white,fresh,chocolate syrup,2.3
filter,single,medium,white,fresh,strawberry syrup,2.3
filter,single,medium,white,fresh,caramel syrup,2.3
filter,single,medium,white,fresh,hazelnut syrup,2.3
filter,single,medium,white,fresh,vanilla syrup,2.3
filter,single,medium,white,fresh,cinnamon powder,2.0
filter,single,medium,white,fresh,chocolate powder,2.0
filter,single,medium,white,evapore,,2.0
filter,single,medium,white,evapore,chocolate syrup,2.3
filter,single,medium,white,evapore,strawberry syrup,2.3
filter,single,medium,white,evapore,caramel syrup,2.3
filter,single,medium,white,evapore,hazelnut syrup,2.3
filter,single,medium,white,evapore,vanilla syrup,2.3
filter,single,medium,white,evapore,cinnamon powder,2.0
filter,single,medium,white,evapore,chocolate powder,2.0
filter,single,medium,white,almond,,2.4
filter,single,medium,white,almond,chocolate syrup,2.7
filter,single,medium,white,almond,strawberry syrup,2.7
filter,single,medium,white,almond,caramel syrup,2.7
filter,single,medium,white,almond,hazelnut syrup,2.7
filter,single,medium,white,almond,vanilla syrup,2.7
filter,single,medium,white,almond,cinnamon powder,2.4
filter,single,medium,white,almond,chocolate powder,2.4
filter,single,medium,white,coconut,,2.4
filter,single,medium,white,coconut,chocolate syrup,2.7
filter,single,medium,white,coconut,strawberry syrup,2.7
filter,single,medium,white,coconut,caramel syrup,2.7
filter,single,medium,white,coconut,hazelnut syrup,2.7
filter,single,medium,white,coconut,vanilla syrup,2.7
filter,single,medium,white,coconut,cinnamon powder,2.4
filter,single,medium,white,coconut,chocolate powder,2.4
filter,single,medium,white,oat,,2.4
filter,single,medium,white,oat,chocolate syrup,2.7
filter,single,medium,white,oat,strawberry syrup,2.7
filter,single,medium,white,oat,caramel syrup,2.7
filter,single,medium,white,oat,hazelnut syrup,2.7
filter,single,medium,white,oat,vanilla syrup,2.7
filter,single,medium,white,oat,cinnamon powder,2.4
filter,single,medium,white,oat,chocolate powder,2.4
filter,single,medium,brown,,,2.0
filter,single,medium,brown,,chocolate syrup,2.3
filter,single,medium,brown,,strawberry syrup,2.3
filter,single,medium,brown,,caramel syrup,2.3
filter,single,medium,brown,,hazelnut syrup,2.3
filter,single,medium,brown,,vanilla syrup,2.3
filter,single,medium,brown,,cinnamon powder,2.0
filter,single,medium,brown,,chocolate powder,2.0
filter,single,medium,brown,fresh,,2.0
filter,single,medium,brown,fresh,chocolate syrup,2.3
filter,single,medium,brown,fresh,strawberry syrup,2.3
filter,single,medium,brown,fresh,caramel syrup,2.3
filter,single,medium,brown,fresh,hazelnut syrup,2.3
filter,single,medium,brown,fresh,vanilla syrup,2.3
filter,single,medium,brown,fresh,cinnamon powder,2.0
filter,single,medium,brown,fresh,chocolate powder,2.0
filter,single,medium,brown,evapore,,2.0
filter,single,medium,brown,evapore,chocolate syrup,2.3
filter,single,medium,brown,evapore,strawberry syrup,2.3
filter,single,medium,brown,evapore,caramel syrup,2.3
filter,single,medium,brown,evapore,hazelnut syrup,2.3
filter,single,medium,brown,evapore,vanilla syrup,2.3
filter,single,medium,brown,evapore,cinnamon powder,2.0
filter,single,medium,brown,evapore,chocolate powder,2.0
filter,single,medium,brown,almond,,2.4
filter,single,medium,brown,almond,chocolate syrup,2.7
filter,single,medium,brown,almond,strawberry syrup,2.7
filter,single,medium,brown,almond,caramel syrup,2.7
filter,single,medium,brown,almond,hazelnut syrup,2.7
filter,single,medium,brown,almond,vanilla syrup,2.7
filter,single,medium,brown,almond,cinnamon powder,2.4
filter,single,medium,brown,almond,chocolate powder,2.4
filter,single,medium,brown,coconut,,2.4
filter,single,medium,brown,coconut,chocolate syrup,2.7
filter,single,medium,brown,coconut,strawberry syrup,2.7
filter,single,medium,brown,coconut,caramel syrup,2.7
filter,single,medium,brown,coconut,hazelnut syrup,2.7
filter,single,medium,brown,coconut,vanilla syrup,2.7
filter,single,medium,brown,coconut,cinnamon powder,2.4
filter,single,medium,brown,coconut,chocolate powder,2.4
filter,single,medium,brown,oat,,2.4
filter,single,medium,brown,oat,chocolate syrup,2.7
filter,single,medium,brown,oat,strawberry syrup,2.7
filter,single,medium,brown,oat,caramel syrup,2.7
filter,single,medium,brown,oat,hazelnut syrup,2.7
filter,single,medium,brown,oat,vanilla syrup,2.7
filter,single,medium,brown,oat,cinnamon powder,2.4
filter,single,medium,brown,oat,chocolate powder,2.4
filter,single,medium,saccharin,,,2.0
