tee_type,variety,sugar,sugar_type,milk,extra,cost
tee,green,,white,almond,chocolate syrup,2.5
tee,green,,white,almond,strawberry syrup,2.5
tee,green,,white,almond,caramel syrup,2.5
tee,green,,white,almond,hazelnut syrup,2.5
tee,green,,white,almond,vanilla syrup,2.5
tee,green,,white,almond,cinnamon powder,2.2
tee,green,,white,almond,chocolate powder,2.2
tee,green,,white,coconut,,2.2
tee,green,,white,coconut,chocolate syrup,2.5
tee,green,,white,coconut,strawberry syrup,2.5
tee,green,,white,coconut,caramel syrup,2.5
tee,green,,white,coconut,hazelnut syrup,2.5
tee,green,,white,coconut,vanilla syrup,2.5
tee,green,,white,coconut,cinnamon powder,2.2
tee,green,,white,coconut,chocolate powder,2.2
tee,green,,white,oat,,2.2
tee,green,,white,oat,chocolate syrup,2.5
tee,green,,white,oat,strawberry syrup,2.5
tee,green,,white,oat,caramel syrup,2.5
tee,green,,white,oat,hazelnut syrup,2.5
tee,green,,white,oat,vanilla syrup,2.5
tee,green,,white,oat,cinnamon powder,2.2
tee,green,,white,oat,chocolate powder,2.2
tee,green,,brown,,,1.8
tee,green,,brown,,chocolate syrup,2.1
tee,green,,brown,,strawberry syrup,2.1
tee,green,,brown,,caramel syrup,2.1
tee,green,,brown,,hazelnut syrup,2.1
tee,green,,brown,,vanilla syrup,2.1
tee,green,,brown,,cinnamon powder,1.8
tee,green,,brown,,chocolate powder,1.8
tee,green,,brown,fresh,,1.8
tee,green,,brown,fresh,chocolate syrup,2.1
tee,green,,brown,fresh,strawberry syrup,2.1
tee,green,,brown,fresh,caramel syrup,2.1
tee,green,,brown,fresh,hazelnut syrup,2.1
tee,green,,brown,fresh,vanilla syrup,2.1
tee,green,,brown,fresh,cinnamon powder,1.8
tee,green,,brown,fresh,chocolate powder,1.8
tee,green,,brown,evapore,,1.8
tee,green,,brown,evapore,chocolate syrup,2.1
tee,green,,brown,evapore,strawberry syrup,2.1
tee,green,,brown,evapore,caramel syrup,2.1
tee,green,,brown,evapore,hazelnut syrup,2.1
tee,green,,brown,evapore,vanilla syrup,2.1
tee,green,,brown,evapore,cinnamon powder,1.8
tee,green,,brown,evapore,chocolate powder,1.8
tee,green,,brown,almond,,2.2
tee,green,,brown,almond,chocolate syrup,2.5
tee,green,,brown,almond,strawberry syrup,2.5
tee,green,,brown,almond,caramel syrup,2.5
tee,green,,brown,almond,hazelnut syrup,2.5
tee,green,,brown,almond,vanilla syrup,2.5
tee,green,,brown,almond,cinnamon powder,2.2
tee,green,,brown,almond,chocolate powder,2.2
tee,green,,brown,coconut,,2.2
tee,green,,brown,coconut,chocolate syrup,2.5
tee,green,,brown,coconut,strawberry syrup,2.5
tee,green,,brown,coconut,caramel syrup,2.5
tee,green,,brown,coconut,hazelnut syrup,2.5
tee,green,,brown,coconut,vanilla syrup,2.5
tee,green,,brown,coconut,cinnamon powder,2.2
tee,green,,brown,coconut,chocolate powder,2.2
tee,green,,brown,oat,,2.2
tee,green,,brown,oat,chocolate syrup,2.5
tee,green,,brown,oat,strawberry syrup,2.5
tee,green,,brown,oat,caramel syrup,2.5
tee,green,,brown,oat,hazelnut syrup,2.5
tee,green,,brown,oat,vanilla syrup,2.5
tee,green,,brown,oat,cinnamon powder,2.2
tee,green,,brown,oat,chocolate powder,2.2
tee,green,,saccharin,,,1.8
tee,green,,saccharin,,chocolate syrup,2.1
tee,green,,saccharin,,strawberry syrup,2.1
tee,green,,saccharin,,caramel syrup,2.1
tee,green,,saccharin,,hazelnut syrup,2.1
tee,green,,saccharin,,vanilla syrup,2.1
tee,green,,saccharin,,cinnamon powder,1.8
tee,green,,saccharin,,chocolate powder,1.8
tee,green,,saccharin,fresh,,1.8
tee,green,,saccharin,fresh,chocolate syrup,2.1
tee,green,,saccharin,fresh,strawberry syrup,2.1
tee,green,,saccharin,fresh,caramel syrup,2.1
tee,green,,saccharin,fresh,hazelnut syrup,2.1
tee,green,,saccharin,fresh,vanilla syrup,2.1
tee,green,,saccharin,fresh,cinnamon powder,1.8
tee,green,,saccharin,fresh,chocolate powder,1.8
tee,green,,saccharin,evapore,,1.8
tee,green,,saccharin,evapore,chocolate syrup,2.1
tee,green,,saccharin,evapore,strawberry syrup,2.1
tee,green,,saccharin,evapore,caramel syrup,2.1
tee,green,,saccharin,evapore,hazelnut syrup,2.1
tee,green,,saccharin,evapore,vanilla syrup,2.1
tee,green,,saccharin,evapore,cinnamon powder,1.8
tee,green,,saccharin,evapore,chocolate powder,1.8
tee,green,,saccharin,almond,,2.2
tee,green,,saccharin,almond,chocolate syrup,2.5
tee,green,,saccharin,almond,strawberry syrup,2.5
tee,green,,saccharin,almond,caramel syrup,2.5
tee,green,,saccharin,almond,hazelnut syrup,2.5
tee,green,,saccharin,almond,vanilla syrup,2.5
tee,green,,saccharin,almond,cinnamon powder,2.2
tee,green,,saccharin,almond,chocolate powder,2.2
tee,green,,saccharin,coconut,,2.2
tee,green,,saccharin,coconut,chocolate syrup,2.5
tee,green,,saccharin,coconut,strawberry syrup,2.5
tee,green,,saccharin,coconut,caramel syrup,2.5
tee,green,,saccharin,coconut,hazelnut syrup,2.5
tee,green,,saccharin,coconut,vanilla syrup,2.5
tee,green,,saccharin,coconut,cinnamon powder,2.2
tee,green,,saccharin,coconut,chocolate powder,2.2
tee,green,,saccharin,oat,,2.2
tee,green,,saccharin,oat,chocolate syrup,2.5
tee,green,,saccharin,oat,strawberry syrup,2.5
tee,green,,saccharin,oat,caramel syrup,2.5
tee,green,,saccharin,oat,hazelnut syrup,2.5
tee,green,,saccharin,oat,vanilla syrup,2.5
tee,green,,saccharin,oat,cinnamon powder,2.2
tee,green,,saccharin,oat,chocolate powder,2.2
tee,green,,stevia,,,1.8
tee,green,,stevia,,chocolate syrup,2.1
tee,green,,stevia,,strawberry syrup,2.1
tee,green,,stevia,,caramel syrup,2.1
tee,green,,stevia,,hazelnut syrup,2.1
tee,green,,stevia,,vanilla syrup,2.1
tee,green,,stevia,,cinnamon powder,1.8
tee,green,,stevia,,chocolate powder,1.8
tee,green,,stevia,fresh,,1.8
tee,green,,stevia,fresh,chocolate syrup,2.1
tee,green,,stevia,fresh,strawberry syrup,2.1
tee,green,,stevia,fresh,caramel syrup,2.1
tee,green,,stevia,fresh,hazelnut syrup,2.1
tee,green,,stevia,fresh,vanilla syrup,2.1
tee,green,,stevia,fresh,cinnamon powder,1.8
tee,green,,stevia,fresh,chocolate powder,1.8
tee,green,,stevia,evapore,,1.8
tee,green,,stevia,evapore,chocolate syrup,2.1
tee,green,,stevia,evapore,strawberry syrup,2.1
tee,green,,stevia,evapore,caramel syrup,2.1
tee,green,,stevia,evapore,hazelnut syrup,2.1
tee,green,,stevia,evapore,vanilla syrup,2.1
tee,green,,stevia,evapore,cinnamon powder,1.8
tee,green,,stevia,evapore,chocolate powder,1.8
tee,green,,stevia,almond,,2.2
tee,green,,stevia,almond,chocolate syrup,2.5
tee,green,,stevia,almond,strawberry syrup,2.5
tee,green,,stevia,almond,caramel syrup,2.5
tee,green,,stevia,almond,hazelnut syrup,2.5
tee,green,,stevia,almond,vanilla syrup,2.5
tee,green,,stevia,almond,cinnamon powder,2.2
tee,green,,stevia,almond,chocolate powder,2.2
tee,green,,stevia,coconut,,2.2
tee,green,,stevia,coconut,chocolate syrup,2.5
tee,green,,stevia,coconut,strawberry syrup,2.5
tee,green,,stevia,coconut,caramel syrup,2.5
tee,green,,stevia,coconut,hazelnut syrup,2.5
tee,green,,stevia,coconut,vanilla syrup,2.5
tee,green,,stevia,coconut,cinnamon powder,2.2
tee,green,,stevia,coconut,chocolate powder,2.2
tee,green,,stevia,oat,,2.2
tee,green,,stevia,oat,chocolate syrup,2.5
tee,green,,stevia,oat,strawberry syrup,2.5
tee,green,,stevia,oat,caramel syrup,2.5
tee,green,,stevia,oat,hazelnut syrup,2.5
tee,green,,stevia,oat,vanilla syrup,2.5
tee,green,,stevia,oat,cinnamon powder,2.2
tee,green,,stevia,oat,chocolate powder,2.2
tee,green,,honey,,,2.1
tee,green,,honey,,chocolate syrup,2.4
tee,green,,honey,,strawberry syrup,2.4
tee,green,,honey,,caramel syrup,2.4
tee,green,,honey,,hazelnut syrup,2.4
tee,green,,honey,,vanilla syrup,2.4
tee,green,,honey,,cinnamon powder,2.1
tee,green,,honey,,chocolate powder,2.1
tee,green,,honey,fresh,,2.1
tee,green,,honey,fresh,chocolate syrup,2.4
tee,green,,honey,fresh,strawberry syrup,2.4
tee,green,,honey,fresh,caramel syrup,2.4
tee,green,,honey,fresh,hazelnut syrup,2.4
tee,green,,honey,fresh,vanilla syrup,2.4
tee,green,,honey,fresh,cinnamon powder,2.1
tee,green,,honey,fresh,chocolate powder,2.1
tee,green,,honey,evapore,,2.1
tee,green,,honey,evapore,chocolate syrup,2.4
tee,green,,honey,evapore,strawberry syrup,2.4
tee,green,,honey,evapore,caramel syrup,2.4
tee,green,,honey,evapore,hazelnut syrup,2.4
tee,green,,honey,evapore,vanilla syrup,2.4
tee,green,,honey,evapore,cinnamon powder,2.1
tee,green,,honey,evapore,chocolate powder,2.1
tee,green,,honey,almond,,2.5
tee,green,,honey,almond,chocolate syrup,2.8
tee,green,,honey,almond,strawberry syrup,2.8
tee,green,,honey,almond,caramel syrup,2.8
tee,green,,honey,almond,hazelnut syrup,2.8
tee,green,,honey,almond,vanilla syrup,2.8
tee,green,,honey,almond,cinnamon powder,2.5
tee,green,,honey,almond,chocolate powder,2.5
tee,green,,honey,coconut,,2.5
tee,green,,honey,coconut,chocolate syrup,2.8
tee,green,,honey,coconut,strawberry syrup,2.8
tee,green,,honey,coconut,caramel syrup,2.8
tee,green,,honey,coconut,hazelnut syrup,2.8
tee,green,,honey,coconut,vanilla syrup,2.8
tee,green,,honey,coconut,cinnamon powder,2.5
tee,green,,honey,coconut,chocolate powder,2.5
tee,green,,honey,oat,,2.5
tee,green,,honey,oat,chocolate syrup,2.8
tee,green,,honey,oat,strawberry syrup,2.8
tee,green,,honey,oat,caramel syrup,2.8
tee,green,,honey,oat,hazelnut syrup,2.8
tee,green,,honey,oat,vanilla syrup,2.8
tee,green,,honey,oat,cinnamon powder,2.5
tee,green,,honey,oat,chocolate powder,2.5
tee,green,little,,,,1.8
tee,green,little,,,chocolate syrup,2.1
tee,green,little,,,strawberry syrup,2.1
tee,green,little,,,caramel syrup,2.1
tee,green,little,,,hazelnut syrup,2.1
tee,green,little,,,vanilla syrup,2.1
tee,green,little,,,cinnamon powder,1.8
tee,green,little,,,chocolate powder,1.8
tee,green,little,,fresh,,1.8
tee,green,little,,fresh,chocolate syrup,2.1
tee,green,little,,fresh,strawberry syrup,2.1
tee,green,little,,fresh,caramel syrup,2.1
tee,green,little,,fresh,hazelnut syrup,2.1
tee,green,little,,fresh,vanilla syrup,2.1
tee,green,little,,fresh,cinnamon powder,1.8
tee,green,little,,fresh,chocolate powder,1.8
tee,green,little,,evapore,,1.8
tee,green,little,,evapore,chocolate syrup,2.1
tee,green,little,,evapore,strawberry syrup,2.1
tee,green,little,,evapore,caramel syrup,2.1
tee,green,little,,evapore,hazelnut syrup,2.1
tee,green,little,,evapore,vanilla syrup,2.1
tee,green,little,,evapore,cinnamon powder,1.8
tee,green,little,,evapore,chocolate powder,1.8
tee,green,little,,almond,,2.2
tee,green,little,,almond,chocolate syrup,2.5
tee,green,little,,almond,strawberry syrup,2.5
tee,green,little,,almond,caramel syrup,2.5
tee,green,little,,almond,hazelnut syrup,2.5
tee,green,little,,almond,vanilla syrup,2.5
tee,green,little,,almond,cinnamon powder,2.2
tee,green,little,,almond,chocolate powder,2.2
tee,green,little,,coconut,,2.2
tee,green,little,,coconut,chocolate syrup,2.5
tee,green,little,,coconut,strawberry syrup,2.5
tee,green,little,,coconut,caramel syrup,2.5
tee,green,little,,coconut,hazelnut syrup,2.5
tee,green,little,,coconut,vanilla syrup,2.5
tee,green,little,,coconut,cinnamon powder,2.2
tee,green,little,,coconut,chocolate powder,2.2
tee,green,little,,oat,,2.2
tee,green,little,,oat,chocolate syrup,2.5
tee,green,little,,oat,strawberry syrup,2.5
tee,green,little,,oat,caramel syrup,2.5
tee,green,little,,oat,hazelnut syrup,2.5
tee,green,little,,oat,vanilla syrup,2.5
tee,green,little,,oat,cinnamon powder,2.2
tee,green,little,,oat,chocolate powder,2.2
tee,green,little,white,,,1.8
tee,green,little,white,,chocolate syrup,2.1
tee,green,little,white,,strawberry syrup,2.1
tee,green,little,white,,caramel syrup,2.1
tee,green,little,white,,hazelnut syrup,2.1
tee,green,little,white,,vanilla syrup,2.1
tee,green,little,white,,cinnamon powder,1.8
tee,green,little,white,,chocolate powder,1.8
tee,green,little,white,fresh,,1.8
tee,green,little,white,fresh,chocolate syrup,2.1
tee,green,little,white,fresh,strawberry syrup,2.1
tee,green,little,white,fresh,caramel syrup,2.1
tee,green,little,white,fresh,hazelnut syrup,2.1
tee,green,little,white,fresh,vanilla syrup,2.1
tee,green,little,white,fresh,cinnamon powder,1.8
tee,green,little,white,fresh,chocolate powder,1.8
tee,green,little,white,evapore,,1.8
tee,green,little,white,evapore,chocolate syrup,2.1
tee,green,little,white,evapore,strawberry syrup,2.1
tee,green,little,white,evapore,caramel syrup,2.1
tee,green,little,white,evapore,hazelnut syrup,2.1
tee,green,little,white,evapore,vanilla syrup,2.1
tee,green,little,white,evapore,cinnamon powder,1.8
tee,green,little,white,evapore,chocolate powder,1.8
tee,green,little,white,almond,,2.2
tee,green,little,white,almond,chocolate syrup,2.5
tee,green,little,white,almond,strawberry syrup,2.5
tee,green,little,white,almond,caramel syrup,2.5
tee,green,little,white,almond,hazelnut syrup,2.5
tee,green,little,white,almond,vanilla syrup,2.5
tee,green,little,white,almond,cinnamon powder,2.2
tee,green,little,white,almond,chocolate powder,2.2
tee,green,little,white,coconut,,2.2
tee,green,little,white,coconut,chocolate syrup,2.5
tee,green,little,white,coconut,strawberry syrup,2.5
tee,green,little,white,coconut,caramel syrup,2.5
tee,green,little,white,coconut,hazelnut syrup,2.5
tee,green,little,white,coconut,vanilla syrup,2.5
tee,green,little,white,coconut,cinnamon powder,2.2
tee,green,little,white,coconut,chocolate powder,2.2
tee,green,little,white,oat,,2.2
tee,green,little,white,oat,chocolate syrup,2.5
tee,green,little,white,oat,strawberry syrup,2.5
tee,green,little,white,oat,caramel syrup,2.5
tee,green,little,white,oat,hazelnut syrup,2.5
tee,green,little,white,oat,vanilla syrup,2.5
tee,green,little,white,oat,cinnamon powder,2.2
tee,green,little,white,oat,chocolate powder,2.2
tee,green,little,brown,,,1.8
tee,green,little,brown,,chocolate syrup,2.1
tee,green,little,brown,,strawberry syrup,2.1
tee,green,little,brown,,caramel syrup,2.1
tee,green,little,brown,,hazelnut syrup,2.1
tee,green,little,brown,,vanilla syrup,2.1
tee,green,little,brown,,cinnamon powder,1.8
tee,green,little,brown,,chocolate powder,1.8
tee,green,little,brown,fresh,,1.8
tee,green,little,brown,fresh,chocolate syrup,2.1
tee,green,little,brown,fresh,strawberry syrup,2.1
tee,green,little,brown,fresh,caramel syrup,2.1
tee,green,little,brown,fresh,hazelnut syrup,2.1
tee,green,little,brown,fresh,vanilla syrup,2.1
tee,green,little,brown,fresh,cinnamon powder,1.8
tee,green,little,brown,fresh,chocolate powder,1.8
tee,green,little,brown,evapore,,1.8
tee,green,little,brown,evapore,chocolate syrup,2.1
tee,green,little,brown,evapore,strawberry syrup,2.1
tee,green,little,brown,evapore,caramel syrup,2.1
tee,green,little,brown,evapore,hazelnut syrup,2.1
tee,green,little,brown,evapore,vanilla syrup,2.1
tee,green,little,brown,evapore,cinnamon powder,1.8
tee,green,little,brown,evapore,chocolate powder,1.8
tee,green,little,brown,almond,,2.2
tee,green,little,brown,almond,chocolate syrup,2.5
tee,green,little,brown,almond,strawberry syrup,2.5
tee,green,little,brown,almond,caramel syrup,2.5
tee,green,little,brown,almond,hazelnut syrup,2.5
tee,green,little,brown,almond,vanilla syrup,2.5
tee,green,little,brown,almond,cinnamon powder,2.2
tee,green,little,brown,almond,chocolate powder,2.2
tee,green,little,brown,coconut,,2.2
tee,green,little,brown,coconut,chocolate syrup,2.5
tee,green,little,brown,coconut,strawberry syrup,2.5
tee,green,little,brown,coconut,caramel syrup,2.5
tee,green,little,brown,coconut,hazelnut syrup,2.5
tee,green,little,brown,coconut,vanilla syrup,2.5
tee,green,little,brown,coconut,cinnamon powder,2.2
tee,green,little,brown,coconut,chocolate powder,2.2
tee,green,little,brown,oat,,2.2
tee,green,little,brown,oat,chocolate syrup,2.5
tee,green,little,brown,oat,strawberry syrup,2.5
tee,green,little,brown,oat,caramel syrup,2.5
tee,green,little,brown,oat,hazelnut syrup,2.5
tee,green,little,brown,oat,vanilla syrup,2.5
tee,green,little,brown,oat,cinnamon powder,2.2
tee,green,little,brown,oat,chocolate powder,2.2
tee,green,little,saccharin,,,1.8
tee,green,little,saccharin,,chocolate syrup,2.1
tee,green,little,saccharin,,strawberry syrup,2.1
tee,green,little,saccharin,,caramel syrup,2.1
tee,green,little,saccharin,,hazelnut syrup,2.1
tee,green,little,saccharin,,vanilla syrup,2.1
tee,green,little,saccharin,,cinnamon powder,1.8
tee,green,little,saccharin,,chocolate powder,1.8
tee,green,little,saccharin,fresh,,1.8
tee,green,little,saccharin,fresh,chocolate syrup,2.1
tee,green,little,saccharin,fresh,strawberry syrup,2.1
tee,green,little,saccharin,fresh,caramel syrup,2.1
tee,green,little,saccharin,fresh,hazelnut syrup,2.1
tee,green,little,saccharin,fresh,vanilla syrup,2.1
tee,green,little,saccharin,fresh,cinnamon powder,1.8
tee,green,little,saccharin,fresh,chocolate powder,1.8
tee,green,little,saccharin,evapore,,1.8
tee,green,little,saccharin,evapore,chocolate syrup,2.1
tee,green,little,saccharin,evapore,strawberry syrup,2.1
tee,green,little,saccharin,evapore,caramel syrup,2.1
tee,green,little,saccharin,evapore,hazelnut syrup,2.1
tee,green,little,saccharin,evapore,vanilla syrup,2.1
tee,green,little,saccharin,evapore,cinnamon powder,1.8
tee,green,little,saccharin,evapore,chocolate powder,1.8
tee,green,little,saccharin,almond,,2.2
tee,green,little,saccharin,almond,chocolate syrup,2.5
tee,green,little,saccharin,almond,strawberry syrup,2.5
tee,green,little,saccharin,almond,caramel syrup,2.5
tee,green,little,saccharin,almond,hazelnut syrup,2.5
tee,green,little,saccharin,almond,vanilla syrup,2.5
tee,green,little,saccharin,almond,cinnamon powder,2.2
tee,green,little,saccharin,almond,chocolate powder,2.2
tee,green,little,saccharin,coconut,,2.2
tee,green,little,saccharin,coconut,chocolate syrup,2.5
tee,green,little,saccharin,coconut,strawberry syrup,2.5
tee,green,little,saccharin,coconut,caramel syrup,2.5
tee,green,little,saccharin,coconut,hazelnut syrup,2.5
tee,green,little,saccharin,coconut,vanilla syrup,2.5
tee,green,little,saccharin,coconut,cinnamon powder,2.2
tee,green,little,saccharin,coconut,chocolate powder,2.2
tee,green,little,saccharin,oat,,2.2
tee,green,little,saccharin,oat,chocolate syrup,2.5
tee,green,little,saccharin,oat,strawberry syrup,2.5
tee,green,little,saccharin,oat,caramel syrup,2.5
tee,green,little,saccharin,oat,hazelnut syrup,2.5
tee,green,little,saccharin,oat,vanilla syrup,2.5
tee,green,little,saccharin,oat,cinnamon powder,2.2
tee,green,little,saccharin,oat,chocolate powder,2.2
tee,green,little,stevia,,,1.8
tee,green,little,stevia,,chocolate syrup,2.1
tee,green,little,stevia,,strawberry syrup,2.1
tee,green,little,stevia,,caramel syrup,2.1
tee,green,little,stevia,,hazelnut syrup,2.1
tee,green,little,stevia,,vanilla syrup,2.1
tee,green,little,stevia,,cinnamon powder,1.8
tee,green,little,stevia,,chocolate powder,1.8
tee,green,little,stevia,fresh,,1.8
tee,green,little,stevia,fresh,chocolate syrup,2.1
tee,green,little,stevia,fresh,strawberry syrup,2.1
tee,green,little,stevia,fresh,caramel syrup,2.1
tee,green,little,stevia,fresh,hazelnut syrup,2.1
tee,green,little,stevia,fresh,vanilla syrup,2.1
tee,green,little,stevia,fresh,cinnamon powder,1.8
tee,green,little,stevia,fresh,chocolate powder,1.8
tee,green,little,stevia,evapore,,1.8
tee,green,little,stevia,evapore,chocolate syrup,2.1
tee,green,little,stevia,evapore,strawberry syrup,2.1
tee,green,little,stevia,evapore,caramel syrup,2.1
tee,green,little,stevia,evapore,hazelnut syrup,2.1
tee,green,little,stevia,evapore,vanilla syrup,2.1
tee,green,little,stevia,evapore,cinnamon powder,1.8
tee,green,little,stevia,evapore,chocolate powder,1.8
tee,green,little,stevia,almond,,2.2
tee,green,little,stevia,almond,chocolate syrup,2.5
tee,green,little,stevia,almond,strawberry syrup,2.5
tee,green,little,stevia,almond,caramel syrup,2.5
tee,green,little,stevia,almond,hazelnut syrup,2.5
tee,green,little,stevia,almond,vanilla syrup,2.5
tee,green,little,stevia,almond,cinnamon powder,2.2
tee,green,little,stevia,almond,chocolate powder,2.2
tee,green,little,stevia,coconut,,2.2
tee,green,little,stevia,coconut,chocolate syrup,2.5
tee,green,little,stevia,coconut,strawberry syrup,2.5
tee,green,little,stevia,coconut,caramel syrup,2.5
tee,green,little,stevia,coconut,hazelnut syrup,2.5
tee,green,little,stevia,coconut,vanilla syrup,2.5
tee,green,little,stevia,coconut,cinnamon powder,2.2
tee,green,little,stevia,coconut,chocolate powder,2.2
tee,green,little,stevia,oat,,2.2
tee,green,little,stevia,oat,chocolate syrup,2.5
tee,green,little,stevia,oat,strawberry syrup,2.5
tee,green,little,stevia,oat,caramel syrup,2.5
tee,green,little,stevia,oat,hazelnut syrup,2.5
tee,green,little,stevia,oat,vanilla syrup,2.5
tee,green,little,stevia,oat,cinnamon powder,2.2
tee,green,little,stevia,oat,chocolate powder,2.2
tee,green,little,honey,,,2.1
tee,green,little,honey,,chocolate syrup,2.4
tee,green,little,honey,,strawberry syrup,2.4
tee,green,little,honey,,caramel syrup,2.4
tee,green,little,honey,,hazelnut syrup,2.4
tee,green,little,honey,,vanilla syrup,2.4
tee,green,little,honey,,cinnamon powder,2.1
tee,green,little,honey,,chocolate powder,2.1
tee,green,little,honey,fresh,,2.1
tee,green,little,honey,fresh,chocolate syrup,2.4
tee,green,little,honey,fresh,strawberry syrup,2.4
tee,green,little,honey,fresh,caramel syrup,2.4
tee,green,little,honey,fresh,hazelnut syrup,2.4
tee,green,little,honey,fresh,vanilla syrup,2.4
tee,green,little,honey,fresh,cinnamon powder,2.1
tee,green,little,honey,fresh,chocolate powder,2.1
tee,green,little,honey,evapore,,2.1
tee,green,little,honey,evapore,chocolate syrup,2.4
tee,green,little,honey,evapore,strawberry syrup,2.4
tee,green,little,honey,evapore,caramel syrup,2.4
tee,green,little,honey,evapore,hazelnut syrup,2.4
tee,green,little,honey,evapore,vanilla syrup,2.4
tee,green,little,honey,evapore,cinnamon powder,2.1
tee,green,little,honey,evapore,chocolate powder,2.1
tee,green,little,honey,almond,,2.5
tee,green,little,honey,almond,chocolate syrup,2.8
tee,green,little,honey,almond,strawberry syrup,2.8
tee,green,little,honey,almond,caramel syrup,2.8
tee,green,little,honey,almond,hazelnut syrup,2.8
tee,green,little,honey,almond,vanilla syrup,2.8
tee,green,little,honey,almond,cinnamon powder,2.5
tee,green,little,honey,almond,chocolate powder,2.5
tee,green,little,honey,coconut,,2.5
tee,green,little,honey,coconut,chocolate syrup,2.8
tee,green,little,honey,coconut,strawberry syrup,2.8
tee,green,little,honey,coconut,caramel syrup,2.8
tee,green,little,honey,coconut,hazelnut syrup,2.8
tee,green,little,honey,coconut,vanilla syrup,2.8
tee,green,little,honey,coconut,cinnamon powder,2.5
tee,green,little,honey,coconut,chocolate powder,2.5
tee,green,little,honey,oat,,2.5
tee,green,little,honey,oat,chocolate syrup,2.8
tee,green,little,honey,oat,strawberry syrup,2.8
tee,green,little,honey,oat,caramel syrup,2.8
tee,green,little,honey,oat,hazelnut syrup,2.8
tee,green,little,honey,oat,vanilla syrup,2.8
tee,green,little,honey,oat,cinnamon powder,2.5
tee,green,little,honey,oat,chocolate powder,2.5
tee,green,medium,,,,1.8
tee,green,medium,,,chocolate syrup,2.1
tee,green,medium,,,strawberry syrup,2.1
tee,green,medium,,,caramel syrup,2.1
tee,green,medium,,,hazelnut syrup,2.1
tee,green,medium,,,vanilla syrup,2.1
tee,green,medium,,,cinnamon powder,1.8
tee,green,medium,,,chocolate powder,1.8
tee,green,medium,,fresh,,1.8
tee,green,medium,,fresh,chocolate syrup,2.1
tee,green,medium,,fresh,strawberry syrup,2.1
tee,green,medium,,fresh,caramel syrup,2.1
tee,green,medium,,fresh,hazelnut syrup,2.1
tee,green,medium,,fresh,vanilla syrup,2.1
