coffee_type,size,variety,sugar,sugar_type,milk,extra,cost
espresso,single,80% arabica + 20% Robusta,little,white,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,white,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,white,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,little,white,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,white,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,white,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,little,white,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,evapore,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,evapore,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,evapore,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,evapore,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,white,evapore,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,white,evapore,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,white,almond,,2.2
espresso,single,80% arabica + 20% Robusta,little,white,almond,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,almond,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,almond,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,almond,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,almond,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,almond,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,white,almond,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,white,coconut,,2.2
espresso,single,80% arabica + 20% Robusta,little,white,coconut,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,coconut,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,coconut,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,coconut,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,coconut,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,coconut,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,white,coconut,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,white,oat,,2.2
espresso,single,80% arabica + 20% Robusta,little,white,oat,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,oat,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,oat,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,oat,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,oat,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,white,oat,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,white,oat,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,,,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,evapore,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,brown,almond,,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,almond,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,almond,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,almond,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,almond,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,almond,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,almond,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,almond,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,coconut,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,oat,,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,oat,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,oat,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,oat,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,oat,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,oat,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,brown,oat,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,brown,oat,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,,,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,evapore,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,almond,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,coconut,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,saccharin,oat,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,,,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,evapore,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,almond,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,coconut,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,little,stevia,oat,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,honey,,,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,,chocolate syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,,strawberry syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,,caramel syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,,hazelnut syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,,vanilla syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,,cinnamon powder,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,,chocolate powder,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,chocolate syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,strawberry syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,caramel syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,hazelnut syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,vanilla syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,cinnamon powder,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,fresh,chocolate powder,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,chocolate syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,strawberry syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,caramel syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,hazelnut syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,vanilla syrup,2.4
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,cinnamon powder,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,evapore,chocolate powder,2.1
espresso,single,80% arabica + 20% Robusta,little,honey,almond,,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,almond,chocolate syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,almond,strawberry syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,almond,caramel syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,almond,hazelnut syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,almond,vanilla syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,almond,cinnamon powder,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,almond,chocolate powder,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,chocolate syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,strawberry syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,caramel syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,hazelnut syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,vanilla syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,cinnamon powder,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,coconut,chocolate powder,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,oat,,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,oat,chocolate syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,oat,strawberry syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,oat,caramel syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,oat,hazelnut syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,oat,vanilla syrup,2.8000000000000003
espresso,single,80% arabica + 20% Robusta,little,honey,oat,cinnamon powder,2.5
espresso,single,80% arabica + 20% Robusta,little,honey,oat,chocolate powder,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,,,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,evapore,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,white,almond,,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,almond,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,almond,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,almond,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,almond,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,almond,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,almond,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,almond,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,coconut,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,oat,,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,oat,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,oat,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,oat,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,oat,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,oat,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,medium,white,oat,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,medium,white,oat,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,medium,brown,,,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,medium,brown,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,medium,brown,evapore,strawberry syrup,2.1
